日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-23,13:30,54-58公斤級,男,桃園市立體育館,,,準決賽,17:30結束
2017-08-23,13:30,46-49公斤級,女,桃園市立體育館,,,準決賽,17:30結束
2017-08-23,13:30,74-80公斤級,男,桃園市立體育館,,,準決賽,17:30結束
2017-08-23,13:30,62-67公斤級,女,桃園市立體育館,,,準決賽,17:30結束
2017-08-23,18:00,54-58公斤級,男,桃園市立體育館,,,決賽,19:00結束
2017-08-23,18:00,46-49公斤級,女,桃園市立體育館,,,決賽,19:00結束
2017-08-23,18:00,74-80公斤級,男,桃園市立體育館,,,決賽,19:00結束
2017-08-23,18:00,62-67公斤級,女,桃園市立體育館,,,決賽,19:00結束
2017-08-23,19:30,頒獎典禮,,桃園市立體育館,,,頒獎典禮,
2017-08-23,15:00,68-74公斤級,男,桃園市立體育館,,,過磅,17:00結束
2017-08-23,15:00,57-62公斤級,女,桃園市立體育館,,,過磅,17:00結束
2017-08-23,15:00,87公斤以上級,男,桃園市立體育館,,,過磅,17:00結束
2017-08-23,15:00,73公斤以上級,女,桃園市立體育館,,,過磅,17:00結束
2017-08-24,09:00,68-74公斤級,男,桃園市立體育館,,,預賽,12:00結束
2017-08-24,09:00,57-62公斤級,女,桃園市立體育館,,,預賽,12:00結束
2017-08-24,09:00,87公斤以上級,男,桃園市立體育館,,,預賽,12:00結束
2017-08-24,09:00,73公斤以上級,女,桃園市立體育館,,,預賽,12:00結束
2017-08-24,13:30,68-74公斤級,男,桃園市立體育館,,,準決賽,17:30結束
2017-08-24,13:30,57-62公斤級,女,桃園市立體育館,,,準決賽,17:30結束
2017-08-24,13:30,87公斤以上級,男,桃園市立體育館,,,準決賽,17:30結束
2017-08-24,13:30,73公斤以上級,女,桃園市立體育館,,,準決賽,17:30結束
2017-08-24,18:00,68-74公斤級,男,桃園市立體育館,,,決賽,19:00結束
2017-08-24,18:00,57-62公斤級,女,桃園市立體育館,,,決賽,19:00結束
2017-08-24,18:00,87公斤以上級,男,桃園市立體育館,,,決賽,19:00結束
2017-08-24,18:00,73公斤以上級,女,桃園市立體育館,,,決賽,19:00結束
2017-08-24,19:30,頒獎典禮,,桃園市立體育館,,,頒獎典禮,
2017-08-24,15:00,80-87公斤級,男,桃園市立體育館,,,過磅,17:00結束
2017-08-24,15:00,67-73公斤級,女,桃園市立體育館,,,過磅,17:00結束
2017-08-24,15:00,58-63公斤級,男,桃園市立體育館,,,過磅,17:00結束
2017-08-24,15:00,49-53公斤級,女,桃園市立體育館,,,過磅,17:00結束
2017-08-25,09:00,80-87公斤級,男,桃園市立體育館,,,預賽,12:00結束
2017-08-25,09:00,67-73公斤級,女,桃園市立體育館,,,預賽,12:00結束
2017-08-25,09:00,58-63公斤級,男,桃園市立體育館,,,預賽,12:00結束
2017-08-25,09:00,49-53公斤級,女,桃園市立體育館,,,預賽,12:00結束
2017-08-25,13:30,80-87公斤級,男,桃園市立體育館,,,準決賽,17:30結束
2017-08-25,13:30,67-73公斤級,女,桃園市立體育館,,,準決賽,17:30結束
2017-08-25,13:30,58-63公斤級,男,桃園市立體育館,,,準決賽,17:30結束
2017-08-25,13:30,49-53公斤級,女,桃園市立體育館,,,準決賽,17:30結束
